onset	duration	trial_type	melody_number	melody_part	key	sound	action
881.059	n/a	RESPONSE	        M6	1	19	G4	press
881.36	n/a	RESPONSE	        M6	1	18	F#4	press
881.421	n/a	RESPONSE	        M6	1	19	G4	release
881.644	n/a	RESPONSE	        M6	1	19	G4	press
881.686	n/a	RESPONSE	        M6	1	18	F#4	release
882.229	n/a	RESPONSE	        M6	1	23	B4	press
882.309	n/a	RESPONSE	        M6	1	19	G4	release
882.479	n/a	RESPONSE	        M6	1	24	C5	press
882.571	n/a	RESPONSE	        M6	1	23	B4	release
882.784	n/a	RESPONSE	        M6	1	23	B4	press
882.875	n/a	RESPONSE	        M6	1	24	C5	release
883.464	n/a	RESPONSE	        M6	1	23	B4	release
883.935	n/a	RESPONSE	        M6	1	17	F4	press
884.359	n/a	RESPONSE	        M6	1	17	F4	release
884.667	n/a	RESPONSE	        M6	1	20	G#4	press
885.089	n/a	RESPONSE	        M6	1	20	G#4	release
885.7	n/a	RESPONSE	        M6	1	18	F#4	press
885.999	n/a	RESPONSE	        M6	1	17	F4	press
886.006	n/a	RESPONSE	        M6	1	16	E4	press
886.081	n/a	RESPONSE	        M6	1	18	F#4	release
886.125	n/a	RESPONSE	        M6	1	16	E4	release
886.324	n/a	RESPONSE	        M6	1	18	F#4	press
886.345	n/a	RESPONSE	        M6	1	17	F4	release
886.771	n/a	RESPONSE	        M6	1	21	A4	press
886.794	n/a	RESPONSE	        M6	1	18	F#4	release
886.917	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
887.04	n/a	RESPONSE	        M6	1	23	B4	press
887.109	n/a	RESPONSE	        M6	1	21	A4	release
887.274	n/a	RESPONSE	        M6	1	21	A4	press
887.315	n/a	RESPONSE	        M6	1	23	B4	release
887.506	n/a	RESPONSE	        M6	1	21	A4	release
894.675	6.325	CUE_LISTEN	        M6	2	n/a	n/a	n/a
901.0	7.758	FIXCROSS	n/a	n/a	n/a	n/a	n/a
908.759	190.985	CUE_PLAYBACK_RIGHT_HAND	        M6	2	n/a	n/a	n/a
909.094	n/a	RESPONSE	        M6	2	23	B4	press
910.086	n/a	RESPONSE	        M6	2	19	G4	press
910.126	n/a	RESPONSE	        M6	2	23	B4	release
911.176	n/a	RESPONSE	        M6	2	19	G4	release
912.791	n/a	RESPONSE	        M6	2	23	B4	press
913.25	n/a	FIXCROSS	n/a	n/a	n/a	n/a	n/a
913.7	n/a	RESPONSE	        M6	2	18	F#4	press
913.761	n/a	RESPONSE	        M6	2	23	B4	release
914.282	n/a	RESPONSE	        M6	2	18	F#4	release
